,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,
players,Al,Horford,C,32,208.28,245,1,70,1.5,1.4,0.821,7.6,0.604,3,0.36,1.8,85,5,21.9,4.2,75,60.8,0.9,1.3,91.46341463,PT,,,
players,Kyrie,Irving,PG,26,190.5,193,1,67,2.6,3.7,0.873,12,0.533,6.5,0.401,1.1,85,3.9,71.2,6.9,75,77.6,1.5,0.5,90.85365854,SP,,,
players,Marcus,Morris Sr.,PF,29,205.74,235,1,64,1.2,2.3,0.844,6.1,0.508,5.2,0.375,1,75,5.1,32.1,1.5,75,65.2,0.6,0.3,95.73170732,,,,
players,Semi,Ojeleye,PF,24,200.66,241,1,55,0.3,0.7,0.615,1.2,0.565,1.6,0.315,0.4,65,1.1,23.6,0.4,75,74.4,0.2,0.1,84.14634146,,,,
players,Terry,Rozier III,PG,24,185.42,190,1,67,0.9,1.2,0.785,4.2,0.422,4.3,0.353,0.4,75,3.5,44,2.9,75,75.6,0.9,0.3,98.17073171,,,,
players,Marcus,Smart,SG,24,193.04,220,1,70,1.5,1.6,0.806,2.8,0.511,4.3,0.364,0.7,75,2.2,27,4,75,77.2,1.8,0.4,98.7804878,PT,,,
players,Jayson,Tatum,SF,20,203.2,208,1,70,1.5,2.9,0.855,9.2,0.483,3.9,0.373,0.9,85,5.2,54.2,2.1,75,88.8,1.1,0.7,98.17073171,EX,,,
players,Daniel,Theis,PF,26,203.2,243,1,70,0.5,1.2,0.737,3,0.603,1,0.388,1.3,50,2.1,13.4,1,75,71.2,0.3,0.6,90.24390244,,,,
players,Brad,Wanamaker,PG,29,193.04,210,1,61,0.5,0.8,0.857,1.8,0.515,1.1,0.41,0.1,50,1.1,32.1,1.6,75,63.2,0.3,0.1,71.95121951,R,,,
players,Robert,Williams III,C,21,208.28,240,1,91,0.3,0.5,0.6,1.6,0.706,0,0,0.8,60,1.7,15.1,0.2,75,82.4,0.3,1.3,69.51219512,R,,,
players,Guerschon,Yabusele,PF,23,203.2,260,1,64,0.4,0.5,0.682,1.2,0.531,0.7,0.321,0.6,60,0.7,13.4,0.4,75,75.6,0.2,0.2,75,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Brooklyn Nets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Jarrett,Allen,C,20,210.82,237,2,73,1.3,3.5,0.71,6.5,0.633,0.6,0.136,2.4,65,5.9,21.9,1.4,75,87.6,0.5,1.5,97.56097561,,,,
players,DeMarre,Carroll,SF,32,203.2,215,2,58,1.1,3.7,0.76,4,0.456,4.7,0.345,1,70,4.2,44,1.3,75,54.8,0.5,0.2,90.24390244,,,,
players,Allen,Crabbe,SG,26,198.12,212,2,55,1.1,1.3,0.732,2.7,0.342,6,0.378,0.4,65,3.1,33.8,1.1,75,70.4,0.5,0.3,76.2195122,,,,
players,Ed,Davis,C,29,208.28,225,2,76,0.8,2,0.62,3.7,0.619,0,0,2.7,65,5.9,11.7,0.8,75,64.4,0.4,0.4,98.17073171,,,,
players,Spencer,Dinwiddie,PG,25,198.12,210,2,52,2.2,5.3,0.803,6.9,0.525,5.4,0.339,0.4,70,2.1,33.8,4.5,75,76,0.6,0.3,90.24390244,CG,,,
players,Jared,Dudley,PF,33,200.66,237,2,55,0.7,0.8,0.696,1.5,0.545,2.5,0.352,0.6,55,2,18.5,1.4,75,52.4,0.6,0.3,85.36585366,,,,
players,Treveon,Graham,SG,25,195.58,225,2,55,0.5,0.7,0.818,1.7,0.439,3.4,0.283,0.6,55,2.4,15.1,0.9,75,70.8,0.4,0.2,70.12195122,,,,
players,Joe,Harris,SF,27,198.12,218,2,52,1.6,1.7,0.832,4.8,0.525,5.1,0.472,0.7,60,3.1,32.1,2.4,75,69.6,0.5,0.2,95.73170732,EX,,,
players,Rondae,Hollis-Jefferson,PF,24,200.66,217,2,67,1.1,3.2,0.645,7.3,0.441,0.8,0.191,1.3,60,3.8,27,1.6,75,75.2,0.7,0.4,85.36585366,,,,
players,Rodions,Kurucs,PF,20,205.74,210,2,61,1.2,1.4,0.773,4.1,0.552,2.9,0.328,0.8,50,3,27,0.8,75,85.2,0.6,0.4,87.19512195,R,,,
players,Caris,LeVert,SG,24,200.66,204,2,61,1.8,3.1,0.69,8.2,0.478,3.9,0.313,0.8,60,2.9,32.1,3.9,75,76.8,1.1,0.3,73.17073171,,,,
players,Dzanan,Musa,SF,19,205.74,208,2,61,0.5,0.3,0.5,1.4,0.727,1.1,0,0.1,50,0.4,10,0.1,75,92.4,0.3,0,54.87804878,R,,,
players,Shabazz,Napier,PG,27,185.42,180,2,61,1.2,2.5,0.833,3.7,0.453,3.9,0.326,0.3,65,1.5,28.7,2.5,75,68.8,0.7,0.3,83.53658537,,,,
players,D'Angelo,Russell,PG,22,195.58,198,2,58,3.2,2.5,0.775,11,0.482,7.8,0.365,0.6,80,3.2,50.8,7,75,81.2,1.3,0.2,98.17073171,CG,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Charlotte Hornets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Dwayne,Bacon,SG,23,200.66,221,3,43,0.4,1.1,0.739,4,0.494,2,0.437,0.2,55,1.9,30.4,1.1,75,77.2,0.3,0.1,76.2195122,,,,
players,Nicolas,Batum,SF,30,203.2,200,3,52,1.6,1.2,0.865,3.5,0.519,4,0.389,0.9,70,4.3,21.9,3.3,75,61.6,0.9,0.6,95.73170732,IH,,,
players,Bismack,Biyombo,C,26,205.74,255,3,61,0.6,1.7,0.637,2.9,0.571,0,0,1.5,60,3.1,11.7,0.6,75,71.2,0.2,0.8,82.92682927,,,,
players,Miles,Bridges,SF,20,200.66,225,3,55,0.6,1,0.753,3.9,0.553,2.5,0.325,0.8,50,3.2,23.6,1.2,75,85.2,0.7,0.6,98.7804878,R,,,
players,Devonte',Graham,PG,23,187.96,185,3,46,0.7,1,0.761,2.1,0.421,2.6,0.281,0.2,60,1.2,23.6,2.6,75,75.6,0.5,0,78.04878049,R,,,
players,Willy,Hernangomez,C,24,210.82,240,3,58,1,2.5,0.694,4.4,0.539,0.7,0.385,2,55,3.3,16.8,1,75,76.4,0.3,0.3,85.36585366,,,,
players,Frank,Kaminsky III,C,25,213.36,242,3,49,0.9,2.3,0.738,3.4,0.553,3,0.36,0.8,65,2.6,18.5,1.3,75,73.6,0.3,0.3,78.65853659,,,,
players,Michael,Kidd-Gilchrist,SF,25,200.66,232,3,55,0.7,1.9,0.772,4.5,0.498,0.7,0.34,1.4,65,2.5,23.6,1,75,74,0.5,0.6,89.02439024,,,,
players,Jeremy,Lamb,SG,26,195.58,185,3,58,1,3.3,0.888,8.2,0.487,4.2,0.348,0.8,60,4.7,42.3,2.2,75,72.4,1.1,0.4,98.17073171,,,,
players,Shelvin,Mack,PG,28,190.5,203,3,46,1,2.3,0.556,3,0.4,0.5,0.25,0,60,0.5,10,0.3,75,65.2,0.5,0,52.43902439,,,,
players,Malik,Monk,SG,20,190.5,200,3,49,1.2,1.4,0.882,3.5,0.461,4.5,0.33,0.2,60,1.7,35.5,1.6,75,85.2,0.5,0.3,94.51219512,,,,
players,Tony,Parker,PG,36,187.96,185,3,40,1.3,2.2,0.734,7.4,0.485,0.9,0.255,0.3,80,1.2,21.9,3.7,75,48,0.4,0.1,84.14634146,HF,,,
players,Kemba,Walker,PG,28,185.42,184,3,49,2.6,5.5,0.844,11.6,0.494,8.9,0.356,0.6,80,3.8,59.3,5.9,75,71.2,1.2,0.4,100,HH,,,
players,Marvin,Williams,PF,32,205.74,237,3,58,0.6,1.1,0.767,3.6,0.5,5.1,0.366,1,75,4.4,27,1.2,75,56.8,0.9,0.8,95.73170732,,,,
players,Cody,Zeller,C,26,213.36,240,3,58,1.3,2.9,0.787,6.6,0.57,0.4,0.273,2.2,65,4.6,21.9,2.1,75,72,0.8,0.8,79.87804878,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Chicago Bulls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Ryan,Arcidiacono,PG,24,190.5,200,4,46,0.8,1.3,0.873,2.5,0.527,2.7,0.373,0.3,50,2.4,32.1,3.3,75,74.4,0.8,0,99.3902439,,,,
players,Antonio,Blakeney,SG,22,193.04,192,4,43,0.6,1.3,0.658,5.4,0.426,1.6,0.396,0.1,50,1.7,23.6,0.7,75,78.8,0.2,0.2,84.75609756,,,,
players,Wendell,Carter Jr.,C,19,208.28,255,4,61,1.5,2.5,0.795,7.7,0.513,0.7,0.188,2,65,5,66.1,1.8,75,88.8,0.6,1.3,76.82926829,R,,,
players,Kris,Dunn,PG,24,193.04,205,4,55,2.3,1.5,0.797,8.9,0.441,2.1,0.354,0.4,70,3.7,38.9,6,75,75.6,1.5,0.5,78.04878049,,,,
players,Cristiano,Felicio,C,26,208.28,265,4,49,0.6,1.2,0.685,2.9,0.543,0.1,0,1.3,60,2.3,15.1,0.6,75,70,0.2,0.1,86.58536585,,,,
players,Shaq,Harrison,PG,25,193.04,190,4,61,0.8,1.7,0.667,4.6,0.475,1.2,0.27,0.5,50,2.6,28.7,1.9,75,72.4,1.2,0.4,94.51219512,,,,
players,Chandler,Hutchison,SF,22,200.66,197,4,49,0.6,0.9,0.605,3.6,0.516,1.1,0.28,0.7,50,3.5,33.8,0.8,75,78.8,0.5,0.1,76.82926829,R,,,
players,Zach,LaVine,SG,23,195.58,200,4,46,3.4,6,0.832,12.9,0.504,5.1,0.374,0.6,80,4,30.4,4.5,75,82.4,1,0.4,88.41463415,SP,,,
players,Walt,Lemon Jr.,PG,26,190.5,180,4,61,2.2,1.8,0.727,13.7,0.439,0.8,0.4,0.7,30,3.8,23.6,3.6,75,67.6,0.9,0.2,53.65853659,,,,
players,Robin,Lopez,C,30,213.36,275,4,46,1.3,1.7,0.724,6.8,0.589,0.4,0.226,1.9,70,2,18.5,1.2,75,61.2,0.1,1.1,95.12195122,,,,
players,Timothe,Luwawu-Cabarrot,SG,23,198.12,210,4,49,0.6,1.2,0.771,2.8,0.469,3.2,0.33,0.2,70,2.5,32.1,0.8,75,76,0.5,0.2,67.68292683,,,,
players,Lauri,Markkanen,PF,21,213.36,240,4,55,1.6,3.8,0.872,8.9,0.479,6.4,0.361,1.4,70,7.6,67.8,1.4,75,86,0.7,0.6,81.70731707,IH,,,
players,Otto,Porter,SF,25,203.2,198,4,52,1.7,2.1,0.906,8.1,0.479,5.3,0.488,0.9,80,4.6,11.7,2.7,75,75.6,1.2,0.6,59.14634146,,,,
players,Wayne,Selden,SG,24,195.58,230,4,46,1.3,1.5,0.714,4.9,0.455,2.6,0.315,0.5,60,2.7,21.9,1.7,75,74,0.5,0.2,76.2195122,,,,
players,Denzel,Valentine,SF,25,198.12,210,4,58,1.3,0.7,0.745,4.6,0.45,4.8,0.386,0.6,60,4.5,35.5,3.2,75,72.8,0.8,0.1,50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Cleveland Cavaliers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Marquese,Chriss,PF,21,208.28,240,5,49,0.9,1.4,0.684,3.3,0.461,2.1,0.263,1.2,70,3,18.5,0.6,75,82,0.6,0.3,66.46341463,,,,
players,Jordan,Clarkson,PG,26,195.58,194,5,34,1.7,2.4,0.844,9.1,0.524,5.5,0.324,1,60,2.3,37.2,2.4,75,72.4,0.7,0.2,99.3902439,,,,
players,Matthew,Dellavedova,PG,28,193.04,200,5,28,1.6,1.3,0.792,2.9,0.5,3.3,0.334,0.2,70,1.7,20.2,4.2,75,65.2,0.3,0.1,71.95121951,IH,,,
players,Channing,Frye,PF,35,213.36,255,5,37,0.4,0.4,0.786,1.1,0.289,2.2,0.405,0.1,65,1.3,10,0.6,75,47.2,0.2,0.1,71.95121951,,,,
players,John,Henson,C,28,210.82,219,5,76,0.9,0.7,0.6,2.6,0.556,2.2,0.355,1.1,70,3.9,13.4,1,75,66.8,0.5,0.8,50,,,,
players,Brandon,Knight,SG,27,190.5,195,5,34,0.9,0.9,0.783,4.3,0.448,3.6,0.371,0.3,75,1.5,21.9,2.3,75,67.6,0.7,0.1,66.46341463,,,,
players,Kevin,Love,PF,30,208.28,251,5,49,1.9,5.2,0.904,6.2,0.412,6.7,0.361,1.5,85,9.4,45,2.2,75,65.2,0.3,0.2,75,,,,
players,Larry,Nance Jr.,C,26,205.74,230,5,55,1.4,2,0.716,5.7,0.567,1.5,0.337,2.5,70,5.7,23.6,3.2,75,72.4,1.5,0.6,90.85365854,SP,,,
players,David,Nwaba,SG,26,193.04,219,5,43,0.6,1.7,0.682,3.7,0.545,1.5,0.32,0.8,60,2.4,33.8,1.1,75,70.8,0.7,0.3,81.09756098,,,,
players,Cedi,Osman,SF,23,203.2,215,5,37,1.5,2.4,0.779,6.2,0.489,4.9,0.348,0.6,60,4.1,40.6,2.6,75,77.6,0.8,0.1,96.34146341,,,,
players,Collin,Sexton,PG,20,187.96,190,5,28,2.3,3.1,0.839,11.1,0.44,3.6,0.402,0.7,75,2.2,52.5,3,75,84.4,0.5,0.1,100,R,,,
players,J.R.,Smith,SG,33,198.12,225,5,43,1,0.9,0.8,3.6,0.375,3.5,0.308,0,80,1.6,18.5,1.9,75,54.8,1,0.3,56.70731707,HH,,,
players,Nik,Stauskas,SG,25,198.12,205,5,34,0.5,1.2,0.893,1.9,0.283,2.6,0.429,0.3,65,1.6,18.5,0.8,75,72.4,0.3,0.1,64.63414634,,,,
players,Tristan,Thompson,C,27,208.28,238,5,43,1.4,2.5,0.642,8.8,0.529,0,0,4,75,6.2,18.5,2,75,70.4,0.7,0.4,76.2195122,HH,,,
players,Ante,Zizic,C,22,210.82,254,5,40,1,2.2,0.705,5.6,0.553,0,0,1.8,55,3.2,16.8,0.9,75,80.4,0.2,0.4,85.97560976,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Dallas Mavericks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,J.J.,Barea,PG,34,182.88,185,6,52,1.9,2.1,0.705,6.8,0.479,3.4,0.297,0.3,65,2.2,27,5.6,75,52.8,0.6,0,73.17073171,,,,
players,Ryan,Broekhoff,SG,28,200.66,215,6,49,0.4,0.5,0.789,0.8,0.576,2.2,0.409,0.2,50,1.3,16.8,0.5,75,64.4,0.1,0.1,75.6097561,,,,
players,Jalen,Brunson,PG,22,190.5,190,6,49,1.2,1.6,0.725,5.3,0.523,2.5,0.348,0.3,60,2,32.1,3.2,75,80.8,0.5,0.1,94.51219512,R,,,
players,Trey,Burke,PG,26,185.42,175,6,49,0.8,2,0.837,4.7,0.53,2.9,0.356,0.5,70,1,27,2.6,75,70.8,0.5,0.1,65.24390244,EX,,,
players,Luka,Doncic,PG,19,200.66,218,6,64,3.4,6.7,0.713,9.3,0.503,7.1,0.327,1.2,80,6.6,59.3,6,75,92.4,1.1,0.3,93.90243902,R,,,
players,Dorian,Finney-Smith,SF,25,203.2,220,6,58,0.9,1.3,0.709,3.4,0.544,3.1,0.311,1.7,55,3.1,32.1,1.2,75,72,0.9,0.4,99.3902439,,,,
players,Tim,Hardaway Jr.,SG,26,198.12,205,6,49,1.3,2.3,0.767,6.7,0.496,7.4,0.321,0.4,75,2.8,52.5,1.9,75,71.6,0.6,0.1,61.58536585,EX,,,
players,Devin,Harris,PG,35,190.5,185,6,55,0.8,2,0.761,2.2,0.476,2.9,0.31,0.2,70,1.5,25.3,1.8,75,48.4,0.5,0.2,91.46341463,,,,
players,Justin,Jackson,SF,23,203.2,210,6,46,0.2,1,0.724,3.6,0.577,3,0.372,0.7,75,1.6,23.6,1,75,76.8,0.3,0,67.68292683,,,,
players,Maxi,Kleber,PF,27,210.82,240,6,64,0.8,1,0.784,2.4,0.583,3.1,0.353,1.3,70,3.4,21.9,1,75,68,0.5,1.1,93.29268293,,,,
players,Courtney,Lee,SG,33,195.58,215,6,58,0.4,0.3,0.714,2,0.488,1.8,0.282,0.1,70,1.1,18.5,1,75,52.8,0.6,0,63.41463415,,,,
players,Salah,Mejri,C,32,218.44,235,6,73,0.6,0.9,0.625,2.2,0.564,0.9,0.324,1,60,2.6,15.1,1,75,56,0.3,0.7,71.95121951,,,,
players,Dirk,Nowitzki,PF,40,213.36,245,6,58,0.4,1,0.78,3.4,0.415,4,0.312,0.1,85,3,15.1,0.7,75,37.2,0.2,0.4,81.09756098,HF,,,
players,Kristaps,Porzingis,PF,23,220.98,240,6,67,1.9,5.7,0.793,13.8,0.454,4.8,0.395,1.3,90,5.3,27,1.2,75,83.2,0.8,2.4,50,IH,,,
players,Dwight,Powell,C,27,210.82,240,6,61,0.9,3.3,0.772,4.7,0.699,1.6,0.307,1.8,60,3.5,21.9,1.5,75,69.6,0.6,0.6,96.95121951,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
